기관코드,기관명,식별자,제목,발행,source_url,관련여부,매칭키워드,요약여부,갱신일
kedi-brief,교육개발원 브리프,34713,"[2022년 11호 | 김혜자] 교육 공공성, 아동의 생활권에서 실현되고 있...",2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34713&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34699,[2022년 10호 | 정재원] 초등학생의 디지털 리터러시 함양을 위해 우...,2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34699&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,o,디지털;디지털 리터러시,o,2026-07-20
kedi-brief,교육개발원 브리프,34687,[2022년 9호 | 정미경] 학교 성장과 변화에 대한 한국형 이론 형성의...,2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34687&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34679,"[2022년 8호 | 조진일] 포스트 코로나 시대, 우리가 주목해야 할 교육...",2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34679&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34653,"[2022년 7호 | 이희현] 초등 돌봄, 지역 간 격차는 줄고 있는가?",2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34653&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34645,[2022년 6호 | 김진희] 코로나19 시기 대졸 미취업 청년의 학습생활과...,2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34645&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34644,"[2022년 5호 | 최인희] 한국초등교원종단연구, 어떻게 준비하고 실행...",2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34644&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34616,[2022년 4호 | 김혜진] TALIS 2018 자료를 활용한 초등학교 신규교사...,2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34616&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34613,[2022년 3호 | 이동엽] 교원평가제도 이대로 문제 없나?: 학교자치 관...,2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34613&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34600,"[2022년 2호 | 김태준] 포스트 코로나 시대, 지역의 교육생태계 활성...",2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34600&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
kedi-brief,교육개발원 브리프,34592,"[2022년 1호 | 손찬희] 교육의 디지털 전환, 아직도 선택의 문제인가...",2022,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34592&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,o,디지털;디지털 전환,o,2026-07-20
kedi-brief,교육개발원 브리프,34470,[2021년 23호 | 김소아] 사이버폭력 예방을 위한 교사와 학부모의 역...,2021,https://www.kedi.re.kr/khome/main/research/selectKediBriefForm.do?article_sq_no=34470&board_sq_no=41&maxResults=15&currentPage=1&selectTp=0&isReply=0,X,,X,2026-07-20
